id,branch,fees,location,link
1,Computer Science & Engineering,9.5,"Platinum Jubilee Block , 4th floor",https://bmsce.ac.in/home/Computer-Science-and-Engineering-About
2,Information Science & Engineering,7.5,"Platinum Jubilee Block , 5th floor",https://bmsce.ac.in/home/Information-Science-and-Engineering-About
3,Electronics & Communication Engineering,5.5,"Platinum Jubilee Block , 3th floor",https://bmsce.ac.in/home/Electronics-and-Communication-Engineering-About
4,Machine Learning ( AI & ML),7,"Platinum Jubilee Block , 7th floor",https://bmsce.ac.in/home/Machine-Learning-About
5,Mechanical Engineering,3.5,Mechanical Block (Besides law college),https://bmsce.ac.in/home/Mechanical-Engineering-About
6,Civil Engineering,3,PG Block,https://bmsce.ac.in/home/Civil-Engineering-About
7,Electrical & Electronics Engineering,4.5,"PG Block, 6th floor",https://bmsce.ac.in/home/Electrical-and-Electronics-Engineering-About
8,Industrical Engineering & Management,4.5,"Mechanical Block (Besides law college) , 2nd floor",https://bmsce.ac.in/home/Industrial-Engineering-and-Management-About
9,Aerospace Engineering,4,"Mechanical Block (Besides law college) , 4th floor",https://bmsce.ac.in/home/Aerospace-Engineering-About
10,Electronics & Telecommunication Engineering,3.5,"Platinum Jubilee Block , 6th floor",https://bmsce.ac.in/home/Electronics-and-Telecommunication-Engineering-About
11,Electronics & Instrumentation Technology,2.5,"PG Block, 2nd floor",https://bmsce.ac.in/home/Electronics-and-Instrumentation-Engineering-About
12,Bio-Technology,3.5,"PG Block, 3rd floor",https://bmsce.ac.in/home/Bio-Technology-About
13,Medical Electronics Engineering,2.5,"Platinum Jubilee Block , 6th floor",https://bmsce.ac.in/home/Medical-Electronics-Engineering-About
14,Checmical Engineering,2.5,"PG Block, 3rd floor",https://bmsce.ac.in/home/Chemical-Engineering-About
15,Data Science (Computer Science & Engineering),7.5,Nan,Nan
16,Internet Of Things and Cyber Security (Computer Science & Engineering),7.5,Nan,Nan
17,Artificial Intelligence (AI) and Data Science,7,Nan,Nan
18,Computer Applications (MCA),1.17,"PG Block, 1st floor",https://bmsce.ac.in/home/Computer-Applications-MCA-About
19,Mathematics Department,Nan,"Platinum Jubilee Block, 2nd floor",https://bmsce.ac.in/home/Mathematics-Department-About
20,Chemistry Department,Nan,Science Block,https://bmsce.ac.in/home/Chemistry-Department-About
21,Physics Deparment,Nan,Science Block,https://bmsce.ac.in/home/Physics-Department-About
22,Principal Office,Nan,"Platinum Jubilee Block, Ground Floor",Nan
23,Auditorium - 1,Nan,"Platinum Jubilee Block, Ground Floor",Nan
24,Auditorium - 2,Nan,"Platinum Jubilee Block, Ground Floor",Nan
25,Accounts Section,Nan,"Platinum Jubilee Block, Ground Floor",Nan
26,JustVend ,Nan,"Platinum Jubilee Block, Ground Floor",Nan
27,Gym,Nan,Indoor Stadium,Nan
28,Placement Office,Nan,Indoor Stadium,https://bmsce.ac.in/home/About-Placements
29,Library,Nan,"Platinum Jubilee Block, 1st Floor",https://bmsce.ac.in/home/About-Library
30,COE,Nan,"PG Block, 3rd floor",https://bmsce.ac.in/home/About-COE-Office
31,NCC office,Nan,Near Girls Hostel,https://bmsce.ac.in/home/About-NCC
